year,state,cause,sum(deaths)
2013,Nevada,Unintentional injuries,1184
2001,Indiana,Influenza and pneumonia,1184
2016,Alabama,Diabetes,1183
1999,Massachusetts,Alzheimer's disease,1182
2000,Maryland,Unintentional injuries,1182
2002,Connecticut,Unintentional injuries,1182
2008,Michigan,Suicide,1180
2009,Alabama,Kidney disease,1180
2007,Minnesota,Alzheimer's disease,1179
2004,West Virginia,Stroke,1178
2006,District of Columbia,Cancer,1178
2016,Maryland,Alzheimer's disease,1178
2010,Illinois,Suicide,1178
2012,Nevada,Unintentional injuries,1177
2016,Virginia,Influenza and pneumonia,1177
2006,West Virginia,Unintentional injuries,1177
2009,Illinois,Suicide,1177
2000,Wisconsin,Alzheimer's disease,1177
2015,Maryland,Influenza and pneumonia,1176
2009,Ohio,Suicide,1176
1999,Nebraska,Stroke,1176
2014,Kentucky,Diabetes,1175
2000,Connecticut,Unintentional injuries,1175
2010,Indiana,Influenza and pneumonia,1175
2003,Maryland,Influenza and pneumonia,1175
2002,Nevada,CLRD,1174
2008,Kansas,Unintentional injuries,1174
2010,North Carolina,Suicide,1174
2009,North Carolina,Suicide,1174
2015,Nebraska,CLRD,1174
2008,Arizona,Diabetes,1173
2001,Minnesota,Alzheimer's disease,1173
2003,Nevada,CLRD,1173
2010,Vermont,Heart disease,1172
2009,Vermont,Heart disease,1171
2011,District of Columbia,Heart disease,1171
1999,Wisconsin,Alzheimer's disease,1170
2009,Michigan,Suicide,1169
2007,District of Columbia,Cancer,1169
2003,New York,Suicide,1169
2011,Louisiana,Kidney disease,1169
2016,Colorado,Suicide,1168
2012,Georgia,Suicide,1168
2014,Utah,Unintentional injuries,1167
2006,Arizona,Influenza and pneumonia,1166
2006,Oklahoma,Diabetes,1166
2014,Nevada,Unintentional injuries,1166
2007,Vermont,Heart disease,1166
2016,Virginia,Suicide,1166
2003,Wisconsin,Influenza and pneumonia,1165
2012,Minnesota,Diabetes,1165
2004,South Carolina,Diabetes,1165
2003,Iowa,Unintentional injuries,1164
2013,Arizona,Suicide,1163
2013,Minnesota,Diabetes,1163
2010,Wisconsin,Kidney disease,1163
2008,North Carolina,Suicide,1162
2003,South Carolina,Diabetes,1161
2011,Arizona,Suicide,1160
2015,Louisiana,Kidney disease,1160
2009,Louisiana,Kidney disease,1160
2007,Arizona,Diabetes,1159
2010,Wisconsin,Diabetes,1158
2006,Minnesota,Diabetes,1158
2011,Georgia,Suicide,1157
2000,Kentucky,Influenza and pneumonia,1157
2003,Alabama,Influenza and pneumonia,1157
2003,Oregon,Alzheimer's disease,1157
2001,Kansas,Unintentional injuries,1156
2012,Arizona,Suicide,1156
2005,Missouri,Kidney disease,1156
2011,Nevada,Unintentional injuries,1155
2000,Minnesota,Alzheimer's disease,1154
2006,Kentucky,Alzheimer's disease,1153
2016,Louisiana,Kidney disease,1153
2003,Arizona,Diabetes,1153
2004,District of Columbia,Cancer,1152
2008,Wisconsin,Diabetes,1152
2007,Louisiana,Kidney disease,1152
2005,District of Columbia,Cancer,1151
2005,West Virginia,Stroke,1151
2016,Missouri,Influenza and pneumonia,1150
2016,Tennessee,Kidney disease,1150
2005,Oregon,Diabetes,1149
2005,Kansas,Unintentional injuries,1149
2001,Indiana,Kidney disease,1149
2007,Oklahoma,Diabetes,1148
2001,Tennessee,Alzheimer's disease,1148
2015,Oregon,Diabetes,1148
2005,Kentucky,Alzheimer's disease,1147
2009,Oklahoma,Diabetes,1146
2002,Illinois,Suicide,1145
2013,Oklahoma,Alzheimer's disease,1145
2004,Kansas,Unintentional injuries,1144
2008,District of Columbia,Cancer,1143
1999,Georgia,Kidney disease,1142
2013,Massachusetts,Diabetes,1142
2004,Wisconsin,Influenza and pneumonia,1141
2006,Kentucky,Diabetes,1141
2016,Washington,Suicide,1141
2011,Massachusetts,Diabetes,1140
1999,Maryland,Influenza and pneumonia,1140
2012,West Virginia,Stroke,1140
2006,Michigan,Suicide,1139
2016,Massachusetts,Kidney disease,1139
2006,Oregon,Diabetes,1139
2004,Oklahoma,Diabetes,1139
2002,Kansas,Unintentional injuries,1139
2001,Illinois,Suicide,1139
1999,North Carolina,Kidney disease,1138
2000,Alabama,Influenza and pneumonia,1138
2012,Louisiana,Kidney disease,1138
2015,Washington,Suicide,1137
2001,Nevada,CLRD,1136
2007,Wisconsin,Diabetes,1136
2004,Indiana,Influenza and pneumonia,1136
2006,South Carolina,Diabetes,1136
2008,Nevada,Unintentional injuries,1134
2005,Connecticut,Unintentional injuries,1134
2009,Georgia,Suicide,1134
2010,Georgia,Suicide,1133
2001,Arizona,Influenza and pneumonia,1133
2008,South Carolina,Diabetes,1133
1999,Kentucky,Diabetes,1133
2016,Missouri,Suicide,1133
2006,Massachusetts,Diabetes,1132
2000,New York,Suicide,1132
2013,Indiana,Influenza and pneumonia,1132
2009,District of Columbia,Cancer,1131
2007,Michigan,Suicide,1131
2012,New Jersey,Influenza and pneumonia,1131
2016,New Mexico,CLRD,1131
2011,Oklahoma,Alzheimer's disease,1130
2004,Minnesota,Diabetes,1130
2001,Nebraska,Stroke,1130
2006,Indiana,Influenza and pneumonia,1129
2010,New Jersey,Influenza and pneumonia,1128
2009,South Carolina,Diabetes,1128
2001,Virginia,Kidney disease,1128
2010,South Carolina,Diabetes,1128
1999,Massachusetts,Kidney disease,1127
2014,New Mexico,CLRD,1127
1999,Kansas,Unintentional injuries,1126
2012,Oregon,Diabetes,1126
2013,Wisconsin,Influenza and pneumonia,1125
2002,Oregon,Alzheimer's disease,1124
2004,Nevada,CLRD,1124
2014,Nebraska,CLRD,1123
1999,Iowa,Unintentional injuries,1123
2014,Virginia,Suicide,1123
2003,District of Columbia,Cancer,1122
2002,Maryland,Influenza and pneumonia,1121
2006,Iowa,Alzheimer's disease,1121
2014,Washington,Suicide,1119
2015,Virginia,Suicide,1118
2000,Virginia,Kidney disease,1118
1999,South Carolina,Diabetes,1118
2006,Missouri,Kidney disease,1118
2016,Nebraska,CLRD,1117
2008,Wisconsin,Influenza and pneumonia,1116
2014,District of Columbia,Cancer,1116
2000,Maryland,Influenza and pneumonia,1116
2001,Kentucky,Influenza and pneumonia,1114
2007,West Virginia,Stroke,1113
2011,Oregon,Diabetes,1113
2007,Oregon,Diabetes,1113
2003,Connecticut,Unintentional injuries,1112
2002,South Carolina,Diabetes,1112
2016,Tennessee,Suicide,1111
2004,Arizona,Influenza and pneumonia,1111
2004,Maryland,Influenza and pneumonia,1111
2002,Louisiana,Alzheimer's disease,1111
2009,Wisconsin,Diabetes,1110
2004,West Virginia,Unintentional injuries,1110
2004,Louisiana,Kidney disease,1110
2015,New Mexico,CLRD,1109
2007,Colorado,Alzheimer's disease,1109
2013,Oregon,Diabetes,1109
2004,Iowa,Unintentional injuries,1108
2001,Arizona,Alzheimer's disease,1108
2007,Illinois,Suicide,1108
2005,Michigan,Suicide,1108
2013,Louisiana,Kidney disease,1108
2000,Kentucky,Diabetes,1107
2008,Alabama,Kidney disease,1107
1999,Indiana,Alzheimer's disease,1106
2002,Michigan,Suicide,1106
2006,North Carolina,Suicide,1106
2001,Missouri,Alzheimer's disease,1106
2001,Alabama,Influenza and pneumonia,1105
2002,New Mexico,Unintentional injuries,1105
2003,Oklahoma,Diabetes,1104
2005,Nevada,Unintentional injuries,1104
2010,West Virginia,Stroke,1104
2006,Alabama,Kidney disease,1104
2013,Utah,Unintentional injuries,1103
2001,Alabama,Alzheimer's disease,1103
2013,Maryland,Influenza and pneumonia,1103
2002,Nebraska,Stroke,1103
2008,Oklahoma,Diabetes,1103
2014,West Virginia,Stroke,1103
1999,Ohio,Suicide,1102
2012,Massachusetts,Diabetes,1099
2003,Missouri,Kidney disease,1099
2001,Kentucky,Diabetes,1099
2014,Mississippi,Alzheimer's disease,1098
2004,Michigan,Suicide,1098
2007,Indiana,Influenza and pneumonia,1098
2015,Alabama,Influenza and pneumonia,1097
2012,Utah,Unintentional injuries,1097
2000,Missouri,Alzheimer's disease,1096
2016,Nevada,Stroke,1096
2008,West Virginia,Stroke,1096
2015,Maryland,Alzheimer's disease,1095
2013,District of Columbia,Cancer,1095
2000,Virginia,Alzheimer's disease,1094
2003,Nebraska,Stroke,1094
2015,Colorado,Suicide,1093
2002,Iowa,Unintentional injuries,1093
2010,Arizona,Suicide,1093
2015,Mississippi,Diabetes,1092
2006,Nevada,Unintentional injuries,1091
2000,Nebraska,Stroke,1091
2007,Kentucky,Diabetes,1091
2015,Tennessee,Kidney disease,1090
2011,South Carolina,Diabetes,1090
2010,Oklahoma,Diabetes,1089
2003,Kansas,Unintentional injuries,1089
2010,Nevada,Unintentional injuries,1088
2001,South Carolina,Diabetes,1088
2000,Ohio,Suicide,1088
2008,Minnesota,Diabetes,1087
2003,Washington,Influenza and pneumonia,1086
2005,Illinois,Suicide,1086
2000,Indiana,Kidney disease,1084
2007,Minnesota,Diabetes,1084
2016,Mississippi,Diabetes,1084
2009,Arizona,Diabetes,1083
1999,Minnesota,Alzheimer's disease,1083
2014,Colorado,Suicide,1083
2014,Oregon,Diabetes,1083
2004,Missouri,Kidney disease,1083
2006,Maryland,Influenza and pneumonia,1082
1999,Iowa,Influenza and pneumonia,1082
2005,Iowa,Alzheimer's disease,1082
2012,District of Columbia,Cancer,1081
1999,Georgia,Alzheimer's disease,1080
2010,Kentucky,Kidney disease,1079
2008,Massachusetts,Diabetes,1079
2015,West Virginia,Stroke,1079
2015,Nevada,Stroke,1078
2015,Iowa,Diabetes,1077
2007,North Carolina,Suicide,1077
1999,Minnesota,Influenza and pneumonia,1077
2002,Missouri,Kidney disease,1076
2003,Ohio,Suicide,1074
2006,Louisiana,Kidney disease,1074
2009,West Virginia,Stroke,1073
2004,Oregon,Diabetes,1073
2009,Oregon,Diabetes,1073
2003,Kentucky,Alzheimer's disease,1072
2013,Virginia,Suicide,1072
2015,District of Columbia,Cancer,1072
2006,West Virginia,Stroke,1072
2013,Mississippi,Diabetes,1071
2011,District of Columbia,Cancer,1070
2000,Iowa,Unintentional injuries,1070
2012,Oklahoma,Alzheimer's disease,1069
2011,Nebraska,CLRD,1068
2008,Arizona,Influenza and pneumonia,1068
2015,Tennessee,Suicide,1068
2013,Tennessee,Kidney disease,1068
2006,Nevada,CLRD,1066
2003,Louisiana,Kidney disease,1065
2001,Oklahoma,Diabetes,1065
2005,Colorado,Alzheimer's disease,1064
2002,Oklahoma,Diabetes,1064
1999,Arizona,Diabetes,1063
2012,Virginia,Suicide,1063
2014,Indiana,Influenza and pneumonia,1063
2003,Alabama,Kidney disease,1062
2008,Oklahoma,Alzheimer's disease,1061
2009,Arizona,Suicide,1060
2006,Colorado,Alzheimer's disease,1058
2001,Arizona,Diabetes,1058
2011,Utah,Unintentional injuries,1058
2009,Arizona,Influenza and pneumonia,1058
2013,Alabama,Kidney disease,1057
2001,Connecticut,Unintentional injuries,1056
2011,Virginia,Suicide,1054
2000,Kansas,Unintentional injuries,1054
2012,Colorado,Suicide,1052
2015,Missouri,Suicide,1052
2015,Wisconsin,Influenza and pneumonia,1052
2010,Oregon,Diabetes,1052
2013,New Mexico,CLRD,1052
2012,Nebraska,CLRD,1052
2016,Wyoming,Heart disease,1051
2007,Alabama,Kidney disease,1051
2003,South Carolina,Alzheimer's disease,1051
2001,Michigan,Suicide,1051
2001,Iowa,Unintentional injuries,1051
2012,Mississippi,Diabetes,1050
2007,Nevada,CLRD,1050
2004,Alabama,Kidney disease,1049
2011,West Virginia,Stroke,1049
2011,Alabama,Kidney disease,1047
2008,Nebraska,CLRD,1047
2000,Arizona,Alzheimer's disease,1045
2016,District of Columbia,Cancer,1044
2015,Indiana,Influenza and pneumonia,1044
2002,Oregon,Diabetes,1041
2010,District of Columbia,Cancer,1041
1999,New Jersey,Alzheimer's disease,1041
2015,Alabama,Kidney disease,1040
2016,West Virginia,Stroke,1039
2012,Washington,Suicide,1038
2010,Minnesota,Diabetes,1037
2005,Alabama,Kidney disease,1036
2014,Tennessee,Kidney disease,1036
2011,Maryland,Influenza and pneumonia,1036
2013,Alabama,Influenza and pneumonia,1035
2012,Alabama,Kidney disease,1035
2016,Connecticut,Alzheimer's disease,1035
1999,Virginia,Kidney disease,1035
2014,Wyoming,Heart disease,1035
1999,Connecticut,Unintentional injuries,1034
2016,Indiana,Suicide,1034
2016,Kentucky,Kidney disease,1034
2003,Kentucky,Influenza and pneumonia,1033
2013,Nebraska,CLRD,1032
2003,Iowa,Influenza and pneumonia,1032
2003,Oregon,Diabetes,1032
2002,Alabama,Kidney disease,1032
2014,Alabama,Influenza and pneumonia,1031
2011,Indiana,Influenza and pneumonia,1031
2004,Nevada,Stroke,1030
2013,Tennessee,Suicide,1030
2001,Oregon,Alzheimer's disease,1030
2015,Wyoming,Heart disease,1030
2003,Michigan,Suicide,1029
1999,Nevada,CLRD,1029
2003,Nevada,Stroke,1028
2010,Massachusetts,Diabetes,1028
2004,Illinois,Suicide,1028
2013,Washington,Suicide,1027
2004,North Carolina,Suicide,1027
2009,Nevada,Unintentional injuries,1025
2008,Oregon,Diabetes,1025
2015,Maine,CLRD,1025
2016,Maryland,Influenza and pneumonia,1025
2011,New Mexico,CLRD,1024
2012,Wisconsin,Kidney disease,1024
2000,Tennessee,Alzheimer's disease,1024
1999,Indiana,Kidney disease,1022
2007,Wisconsin,Influenza and pneumonia,1022
2010,New Mexico,CLRD,1022
2004,Nevada,Unintentional injuries,1021
2005,Kentucky,Influenza and pneumonia,1021
2011,Washington,Suicide,1021
2009,Minnesota,Diabetes,1021
1999,Illinois,Suicide,1020
2001,New Mexico,Unintentional injuries,1020
2014,Maryland,Influenza and pneumonia,1019
2014,Iowa,Diabetes,1019
2009,Kentucky,Influenza and pneumonia,1018
2014,Kentucky,Influenza and pneumonia,1017
2014,Missouri,Suicide,1017
2010,Wyoming,Cancer,1016
2007,Arizona,Suicide,1016
2013,Alaska,Cancer,1016
2008,Maryland,Alzheimer's disease,1016
2010,Oklahoma,Alzheimer's disease,1015
2014,Mississippi,Diabetes,1015
2006,Wisconsin,Influenza and pneumonia,1014
2002,Kentucky,Alzheimer's disease,1013
2005,Oklahoma,Alzheimer's disease,1012
2016,Alabama,Kidney disease,1012
2000,Arizona,Diabetes,1012
2001,Oregon,Diabetes,1011
2003,Illinois,Suicide,1011
2014,Alabama,Kidney disease,1011
2005,Alabama,Influenza and pneumonia,1011
2000,Washington,Influenza and pneumonia,1010
2006,Illinois,Suicide,1010
1999,Wyoming,Heart disease,1009
2005,North Carolina,Suicide,1009
2008,Maryland,Influenza and pneumonia,1008
2010,Nebraska,CLRD,1008
1999,Louisiana,Influenza and pneumonia,1008
2009,Massachusetts,Diabetes,1007
1999,Oklahoma,Influenza and pneumonia,1007
2008,Wisconsin,Kidney disease,1007
2013,Colorado,Suicide,1007
2012,Wyoming,Heart disease,1005
2002,Wyoming,Heart disease,1005
2003,West Virginia,Unintentional injuries,1004
2000,Illinois,Suicide,1003
2011,Arkansas,Alzheimer's disease,1002
2014,Wisconsin,Influenza and pneumonia,1002
2007,Wisconsin,Kidney disease,1002
2008,New Mexico,CLRD,1001
2015,Kentucky,Kidney disease,998
2001,North Carolina,Suicide,997
2007,Georgia,Suicide,997
2014,Tennessee,Suicide,997
2012,Wisconsin,Influenza and pneumonia,996
2011,Mississippi,Diabetes,996
2015,Wisconsin,Kidney disease,996
2005,Louisiana,Influenza and pneumonia,996
2016,Alaska,Cancer,995
2000,New Mexico,Unintentional injuries,995
2007,Kentucky,Kidney disease,994
2006,Wyoming,Heart disease,994
2004,Alabama,Influenza and pneumonia,994
2007,Maryland,Influenza and pneumonia,994
2009,Wisconsin,Kidney disease,994
2013,Wisconsin,Kidney disease,993
2009,Oklahoma,Alzheimer's disease,993
2001,Louisiana,Kidney disease,993
2008,Kentucky,Kidney disease,993
2000,Wyoming,Heart disease,992
2013,Kentucky,Kidney disease,991
2001,Missouri,Kidney disease,991
2000,Nevada,CLRD,989
2009,Nebraska,CLRD,987
2016,Alabama,Influenza and pneumonia,987
1999,Oklahoma,Diabetes,986
2011,Wisconsin,Influenza and pneumonia,986
2002,North Carolina,Suicide,986
2012,Maryland,Influenza and pneumonia,986
2010,Maryland,Alzheimer's disease,986
2005,Nebraska,Stroke,986
2001,Wyoming,Heart disease,985
2009,New Mexico,CLRD,984
2010,Tennessee,Kidney disease,983
2002,Louisiana,Kidney disease,983
2013,West Virginia,Stroke,983
2004,Kentucky,Alzheimer's disease,982
2008,Georgia,Suicide,981
2014,Wisconsin,Kidney disease,980
2009,Wisconsin,Influenza and pneumonia,979
1999,Alabama,Kidney disease,979
2006,Arizona,Suicide,979
2011,Wisconsin,Kidney disease,979
2004,Nebraska,Stroke,978
2012,Tennessee,Suicide,978
2015,Alaska,Cancer,978
2000,Oklahoma,Diabetes,978
2009,Maryland,Influenza and pneumonia,976
2002,Nevada,Stroke,976
2011,Mississippi,Alzheimer's disease,975
2003,Wyoming,Heart disease,975
2000,Utah,Stroke,975
1999,Michigan,Suicide,974
2001,Alabama,Kidney disease,974
2000,Michigan,Suicide,974
2012,Indiana,Influenza and pneumonia,973
2008,Tennessee,Suicide,973
2004,Georgia,Suicide,973
2003,Georgia,Suicide,972
2000,Louisiana,Influenza and pneumonia,972
2014,Alaska,Cancer,972
2008,Arizona,Suicide,972
2000,North Carolina,Suicide,971
2011,Kentucky,Kidney disease,971
2010,Utah,Unintentional injuries,970
1999,New Mexico,Unintentional injuries,969
2014,Kentucky,Kidney disease,968
2004,Iowa,Alzheimer's disease,968
2015,Kentucky,Influenza and pneumonia,967
2002,South Carolina,Alzheimer's disease,967
2015,Connecticut,Alzheimer's disease,966
2001,Kentucky,Alzheimer's disease,966
2001,Washington,Influenza and pneumonia,965
2004,Kentucky,Influenza and pneumonia,965
2012,New Mexico,CLRD,965
2009,Wyoming,Heart disease,964
2010,South Carolina,Kidney disease,963
2009,Virginia,Suicide,963
2010,Virginia,Suicide,963
1999,Arizona,Alzheimer's disease,963
2010,Wyoming,Heart disease,962
2006,Wisconsin,Kidney disease,962
2016,Wyoming,Cancer,962
2016,Indiana,Influenza and pneumonia,962
2008,Kansas,Alzheimer's disease,961
2011,Kentucky,Influenza and pneumonia,961
2016,Wisconsin,Kidney disease,960
2013,Missouri,Suicide,960
2015,Indiana,Suicide,960
2005,Maryland,Alzheimer's disease,958
2007,Wyoming,Heart disease,957
2001,Louisiana,Alzheimer's disease,957
2010,Washington,Suicide,957
2002,Louisiana,Influenza and pneumonia,956
2005,Connecticut,Influenza and pneumonia,956
2002,West Virginia,Unintentional injuries,956
2003,North Carolina,Suicide,955
2011,Tennessee,Suicide,955
2012,Wyoming,Cancer,955
2010,Arkansas,Alzheimer's disease,955
2002,Colorado,Alzheimer's disease,954
2005,Wyoming,Heart disease,952
2009,Alabama,Influenza and pneumonia,952
2011,Alabama,Influenza and pneumonia,951
2004,Wyoming,Heart disease,950
2005,Nebraska,CLRD,949
2009,Tennessee,Kidney disease,949
2003,Oklahoma,Influenza and pneumonia,949
2014,Indiana,Suicide,948
2014,Nevada,Stroke,948
2001,Maryland,Alzheimer's disease,948
2008,Virginia,Suicide,948
2005,Oklahoma,Influenza and pneumonia,948
2009,Tennessee,Suicide,947
2013,Wyoming,Cancer,946
2008,South Carolina,Kidney disease,945
2009,Kentucky,Kidney disease,945
2005,Nevada,Stroke,945
1999,Nebraska,CLRD,945
2005,Arizona,Suicide,945
2013,Indiana,Suicide,944
1999,Tennessee,Alzheimer's disease,944
2010,Kentucky,Influenza and pneumonia,943
2008,Kentucky,Influenza and pneumonia,943
2010,Tennessee,Suicide,943
2003,Wyoming,Cancer,943
2009,West Virginia,Unintentional injuries,942
2002,Iowa,Influenza and pneumonia,942
2010,Alabama,Influenza and pneumonia,942
2012,Alabama,Influenza and pneumonia,942
2001,Louisiana,Influenza and pneumonia,941
2009,Colorado,Suicide,941
2012,Indiana,Suicide,940
2007,Wyoming,Cancer,940
2005,West Virginia,Unintentional injuries,940
2013,Wyoming,Heart disease,939
2000,Alabama,Kidney disease,939
2016,Colorado,Diabetes,938
2008,Oklahoma,Influenza and pneumonia,938
2000,Iowa,Influenza and pneumonia,937
2008,Wyoming,Heart disease,937
2009,Maryland,Alzheimer's disease,937
2003,New Mexico,CLRD,936
2011,Wyoming,Cancer,936
2009,Wyoming,Cancer,936
2011,Alaska,Cancer,935
2001,Georgia,Suicide,935
2002,Nebraska,CLRD,934
2014,Maryland,Alzheimer's disease,934
2012,Kentucky,Kidney disease,933
2011,Missouri,Suicide,933
2012,Tennessee,Kidney disease,933
2016,Utah,Stroke,932
2012,Arkansas,Alzheimer's disease,931
2015,Wyoming,Cancer,931
2005,Wisconsin,Kidney disease,930
2006,Oklahoma,Alzheimer's disease,928
2016,Maine,CLRD,928
2001,Maryland,Influenza and pneumonia,928
2010,Mississippi,Alzheimer's disease,927
2005,Washington,Influenza and pneumonia,927
2007,Oklahoma,Alzheimer's disease,927
2006,Wyoming,Cancer,927
2006,Kentucky,Influenza and pneumonia,927
2010,Mississippi,Diabetes,926
2011,Wyoming,Heart disease,926
2013,Mississippi,Alzheimer's disease,925
2010,Maryland,Influenza and pneumonia,925
2012,Alaska,Cancer,925
2004,Wisconsin,Kidney disease,925
2016,New Hampshire,Unintentional injuries,924
2005,Georgia,Suicide,924
2006,Georgia,Suicide,923
2001,Wyoming,Cancer,923
2012,Mississippi,Alzheimer's disease,923
2014,Connecticut,Alzheimer's disease,923
2014,Wyoming,Cancer,922
2011,Maryland,Alzheimer's disease,922
2006,Kentucky,Kidney disease,922
2006,Nebraska,Stroke,922
2003,Arkansas,Influenza and pneumonia,921
2007,Nebraska,Stroke,921
2009,Washington,Suicide,921
2016,Arkansas,Diabetes,920
2000,Louisiana,Kidney disease,920
2013,Maryland,Alzheimer's disease,919
2013,Kentucky,Influenza and pneumonia,919
2007,Nebraska,CLRD,919
2006,Alabama,Influenza and pneumonia,918
2013,Arkansas,Alzheimer's disease,918
1999,Virginia,Alzheimer's disease,917
2008,Mississippi,Alzheimer's disease,916
2006,Maryland,Alzheimer's disease,915
2003,Louisiana,Influenza and pneumonia,915
1999,Missouri,Alzheimer's disease,914
2002,Oklahoma,Influenza and pneumonia,914
2012,Missouri,Suicide,914
2001,Oklahoma,Influenza and pneumonia,913
2011,Colorado,Suicide,913
2001,Nevada,Stroke,913
2004,Louisiana,Influenza and pneumonia,913
2005,Kansas,Alzheimer's disease,912
2008,Alabama,Influenza and pneumonia,912
2005,Kentucky,Kidney disease,912
2004,Colorado,Alzheimer's disease,912
2003,Nevada,Unintentional injuries,911
1999,Louisiana,Kidney disease,911
2002,South Carolina,Influenza and pneumonia,910
2000,Oregon,Alzheimer's disease,910
2002,Georgia,Suicide,909
2016,Maine,Unintentional injuries,909
2008,Tennessee,Kidney disease,908
2011,Arkansas,Diabetes,908
1999,Missouri,Kidney disease,907
2003,South Carolina,Influenza and pneumonia,907
2000,Missouri,Kidney disease,907
2002,Washington,Influenza and pneumonia,907
2008,Nevada,Stroke,906
2012,Maryland,Alzheimer's disease,906
2015,Utah,Alzheimer's disease,906
2007,Arizona,Influenza and pneumonia,905
2004,Maryland,Alzheimer's disease,905
2013,Nevada,Stroke,905
2010,Wisconsin,Influenza and pneumonia,904
2016,Utah,Alzheimer's disease,904
2002,Utah,Stroke,903
2013,Maine,CLRD,902
2008,Arkansas,Diabetes,901
2009,Mississippi,Alzheimer's disease,900
2009,Mississippi,Diabetes,900
2002,Minnesota,Influenza and pneumonia,900
2009,Utah,Unintentional injuries,899
2002,Iowa,Alzheimer's disease,899
2003,Colorado,Alzheimer's disease,899
1999,Wyoming,Cancer,899
2007,Alabama,Influenza and pneumonia,898
2007,Kentucky,Influenza and pneumonia,897
2012,Nevada,Stroke,897
2010,Minnesota,Kidney disease,897
2016,South Carolina,Kidney disease,897
2014,Maine,CLRD,896
2005,Iowa,Influenza and pneumonia,896
2000,Alabama,Alzheimer's disease,895
2009,Alaska,Cancer,895
2003,Nebraska,CLRD,894
2008,Louisiana,Influenza and pneumonia,894
2008,Arkansas,Alzheimer's disease,893
2009,South Carolina,Kidney disease,893
2013,Louisiana,Influenza and pneumonia,892
2009,Louisiana,Influenza and pneumonia,891
2000,Connecticut,Influenza and pneumonia,890
2009,Arkansas,Diabetes,890
2004,Iowa,Influenza and pneumonia,890
2011,Nevada,Stroke,889
2008,Washington,Suicide,889
2006,New Mexico,CLRD,888
2015,Utah,Stroke,888
2016,Kentucky,Influenza and pneumonia,888
2002,Connecticut,Influenza and pneumonia,888
2016,Wisconsin,Influenza and pneumonia,888
2003,Iowa,Alzheimer's disease,887
2015,Colorado,Diabetes,887
2015,South Carolina,Kidney disease,886
2005,Arkansas,Influenza and pneumonia,886
2002,Arizona,Suicide,886
2015,Arkansas,Diabetes,886
2005,Wyoming,Cancer,886
1999,Connecticut,Influenza and pneumonia,885
2016,New Mexico,Stroke,885
2016,Arizona,Influenza and pneumonia,885
2000,Oklahoma,Influenza and pneumonia,885
2009,Arkansas,Alzheimer's disease,885
1999,North Carolina,Suicide,884
2007,New Mexico,CLRD,884
2010,Alaska,Cancer,884
2003,Arkansas,Diabetes,884
1999,South Carolina,Influenza and pneumonia,883
1999,Nevada,Stroke,882
2001,Nebraska,CLRD,882
2007,Maryland,Alzheimer's disease,881
2011,Indiana,Suicide,881
2001,South Carolina,Alzheimer's disease,881
2008,Utah,Unintentional injuries,881
2007,Virginia,Suicide,880
2004,Arizona,Suicide,880
1999,Maine,Stroke,879
2009,Oklahoma,Influenza and pneumonia,879
2006,Oklahoma,Influenza and pneumonia,879
2012,Kentucky,Influenza and pneumonia,879
2006,Nebraska,CLRD,878
2010,Louisiana,Influenza and pneumonia,878
2015,Wisconsin,Suicide,877
2001,Iowa,Influenza and pneumonia,877
2006,Virginia,Suicide,876
2010,Nebraska,Stroke,876
2003,Utah,Stroke,876
2004,Wyoming,Cancer,875
2016,Utah,CLRD,875
2006,Tennessee,Suicide,874
2008,Wyoming,Cancer,874
2015,Nevada,Alzheimer's disease,874
2000,South Carolina,Alzheimer's disease,874
2003,Wisconsin,Kidney disease,873
1999,Georgia,Suicide,873
2000,Nevada,Stroke,872
2007,Louisiana,Influenza and pneumonia,870
2001,Utah,Stroke,870
1999,Utah,Stroke,869
2013,South Carolina,Kidney disease,869
2000,Wyoming,Cancer,868
2004,Connecticut,Influenza and pneumonia,868
2008,Alaska,Cancer,867
2004,Oklahoma,Alzheimer's disease,867
2005,Virginia,Suicide,866
1999,Oregon,Alzheimer's disease,866
2002,Maryland,Alzheimer's disease,866
2016,Wisconsin,Suicide,866
2007,Washington,Suicide,865
2016,Idaho,CLRD,865
2003,Maryland,Alzheimer's disease,865
2010,Colorado,Suicide,865
2015,Kansas,Alzheimer's disease,865
2010,Indiana,Suicide,864
2011,Oklahoma,Influenza and pneumonia,863
2008,Nebraska,Stroke,863
2001,Iowa,Alzheimer's disease,863
1999,Oregon,Diabetes,860
2002,Nevada,Unintentional injuries,860
2003,Connecticut,Influenza and pneumonia,860
2009,Missouri,Suicide,860
2007,Kansas,Alzheimer's disease,860
2012,South Carolina,Kidney disease,860
2016,West Virginia,Diabetes,860
2002,Wyoming,Cancer,859
2009,Nevada,Stroke,859
2003,Minnesota,Influenza and pneumonia,858
2009,Nebraska,Stroke,857
2002,New Mexico,CLRD,857
2014,Utah,Stroke,856
2010,Missouri,Suicide,856
2005,Tennessee,Suicide,856
2005,New Mexico,CLRD,855
2016,Kansas,Alzheimer's disease,855
2014,Louisiana,Influenza and pneumonia,854
2001,Connecticut,Influenza and pneumonia,854
2001,Colorado,Alzheimer's disease,852
2002,Wisconsin,Kidney disease,852
2015,Washington,Influenza and pneumonia,851
2011,Louisiana,Influenza and pneumonia,851
2013,Wisconsin,Suicide,850
2010,Arkansas,Diabetes,850
